Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
main,com.rentx,Application,main,3,1,1
main,com.rentx.businessservices,AdvertisementService,AdvertisementService,3,1,1
main,com.rentx.businessservices,AdvertisementService,findAll,3,1,0
main,com.rentx.businessservices,AdvertisementService,getAdvertisementsByUserId,3,1,1
main,com.rentx.businessservices,AdvertisementService,getAdvertisementsByProductId,3,1,1
main,com.rentx.businessservices,AdvertisementService,getAdvertisementsByUserIdProductId,3,1,2
main,com.rentx.businessservices,AdvertisementService,addAdvertisement,3,1,1
main,com.rentx.businessservices,AreaService,AreaService,3,1,1
main,com.rentx.businessservices,AreaService,findAll,3,1,0
main,com.rentx.businessservices,BooksService,getAllBooksDetails,3,1,0
main,com.rentx.businessservices,BooksService,addBook,3,1,1
main,com.rentx.businessservices,BooksService,getBookDetailsById,3,1,1
main,com.rentx.businessservices,BooksService,getBooksDetailsByAuthor,3,1,1
main,com.rentx.businessservices,CategoryService,CategoryService,3,1,1
main,com.rentx.businessservices,CategoryService,findAll,3,1,0
main,com.rentx.businessservices,CategoryService,getCategoryById,3,1,1
main,com.rentx.businessservices,ElectronicGadgetService,getAllElectronicGadgetsDetails,3,1,0
main,com.rentx.businessservices,ElectronicGadgetService,addElectronicGadgets,3,1,1
main,com.rentx.businessservices,ElectronicGadgetService,getElectronicGadgetsDetailsById,3,1,1
main,com.rentx.businessservices,ElectronicGadgetService,getElectronicGadgetsDetailsByType,3,1,1
main,com.rentx.businessservices,EmailService,sendEmail,3,1,1
main,com.rentx.businessservices,FurnitureService,getAllFurnitureDetails,3,1,0
main,com.rentx.businessservices,FurnitureService,addFurniture,3,1,1
main,com.rentx.businessservices,FurnitureService,getFurnitureDetailsById,3,1,1
main,com.rentx.businessservices,FurnitureService,getFurnitureDetailsByType,3,1,1
main,com.rentx.businessservices,ImageService,downloadFile,5,1,2
main,com.rentx.businessservices,ImageService,uploadFile,13,1,4
main,com.rentx.businessservices,ImageService,get,7,2,2
main,com.rentx.businessservices,KitchenApplianceService,getAllKitchenApplianceDetails,3,1,0
main,com.rentx.businessservices,KitchenApplianceService,addKitchenAppliance,3,1,1
main,com.rentx.businessservices,KitchenApplianceService,getKitchenApplianceDetailsById,3,1,1
main,com.rentx.businessservices,KitchenApplianceService,getKitchenApplianceDetailsByType,3,1,1
main,com.rentx.businessservices,ProductService,ProductService,12,1,10
main,com.rentx.businessservices,ProductService,getAllAvailableProducts,3,1,0
main,com.rentx.businessservices,ProductService,getProduct,3,1,1
main,com.rentx.businessservices,ProductService,getProducts,15,2,1
main,com.rentx.businessservices,ProductService,addProduct,30,5,2
main,com.rentx.businessservices,ProductService,saveAdvertisement,4,1,3
main,com.rentx.businessservices,ProductService,getAdvertisementObj,14,1,3
main,com.rentx.businessservices,ProductService,getIsActive,3,1,0
main,com.rentx.businessservices,ProductService,getExpiryDate,6,1,1
main,com.rentx.businessservices,ProductService,getCurrentDate,3,1,0
main,com.rentx.businessservices,ProductService,updateProduct,42,9,2
main,com.rentx.businessservices,ProductService,deleteProduct,24,5,2
main,com.rentx.businessservices,PurchaseService,getAllPurchases,7,2,1
main,com.rentx.businessservices,PurchaseService,addPurchase,4,1,1
main,com.rentx.businessservices,PurchaseService,getPurchaseDetailsById,3,1,1
main,com.rentx.businessservices,ReviewService,ReviewService,3,1,1
main,com.rentx.businessservices,ReviewService,getReviewForProduct,3,1,1
main,com.rentx.businessservices,ReviewService,addReview,3,1,1
main,com.rentx.businessservices,UserProfileService,findUserById,3,1,1
main,com.rentx.businessservices,UserProfileService,updateUserProfile,12,1,2
main,com.rentx.businessservices,UserService,UserService,5,1,9
main,com.rentx.businessservices,UserService,findAll,3,1,0
main,com.rentx.businessservices,UserService,insert,4,1,1
main,com.rentx.businessservices,UserService,login,12,3,1
main,com.rentx.businessservices,UserService,register,11,2,1
main,com.rentx.businessservices,UserService,reRegister,6,1,1
main,com.rentx.businessservices,UserService,findByLogin,5,2,1
main,com.rentx.businessservices,UserService,findByEmail,5,2,1
main,com.rentx.businessservices,UserService,findByResetToken,5,2,1
main,com.rentx.businessservices,UserService,verifyUser,12,2,2
main,com.rentx.businessservices,UserService,deleteUser,12,2,1
main,com.rentx.businessservices,WishlistService,WishlistService,3,1,1
main,com.rentx.businessservices,WishlistService,getWishlistForUser,4,1,1
main,com.rentx.businessservices,WishlistService,addToWishlist,6,1,2
main,com.rentx.businessservices,WishlistService,removeFromWishlist,6,2,2
main,com.rentx.businessservices.exceptions,AppException,AppException,4,1,2
main,com.rentx.businessservices.exceptions,AppException,getCode,3,1,0
main,com.rentx.businessservices.interfaces,IAdvertisementService,findAll,0,1,0
main,com.rentx.businessservices.interfaces,IAdvertisementService,getAdvertisementsByUserId,0,1,1
main,com.rentx.businessservices.interfaces,IAdvertisementService,getAdvertisementsByProductId,0,1,1
main,com.rentx.businessservices.interfaces,IAdvertisementService,getAdvertisementsByUserIdProductId,0,1,2
main,com.rentx.businessservices.interfaces,IAdvertisementService,addAdvertisement,0,1,1
main,com.rentx.businessservices.interfaces,IAreaService,findAll,0,1,0
main,com.rentx.businessservices.interfaces,IBooksService,getAllBooksDetails,0,1,0
main,com.rentx.businessservices.interfaces,IBooksService,addBook,0,1,1
main,com.rentx.businessservices.interfaces,IBooksService,getBookDetailsById,0,1,1
main,com.rentx.businessservices.interfaces,IBooksService,getBooksDetailsByAuthor,0,1,1
main,com.rentx.businessservices.interfaces,ICategoryService,findAll,0,1,0
main,com.rentx.businessservices.interfaces,ICategoryService,getCategoryById,0,1,1
main,com.rentx.businessservices.interfaces,IElectronicGadgetsService,getAllElectronicGadgetsDetails,0,1,0
main,com.rentx.businessservices.interfaces,IElectronicGadgetsService,addElectronicGadgets,0,1,1
main,com.rentx.businessservices.interfaces,IElectronicGadgetsService,getElectronicGadgetsDetailsById,0,1,1
main,com.rentx.businessservices.interfaces,IElectronicGadgetsService,getElectronicGadgetsDetailsByType,0,1,1
main,com.rentx.businessservices.interfaces,IEmailService,sendEmail,0,1,1
main,com.rentx.businessservices.interfaces,IFurnitureService,getAllFurnitureDetails,0,1,0
main,com.rentx.businessservices.interfaces,IFurnitureService,addFurniture,0,1,1
main,com.rentx.businessservices.interfaces,IFurnitureService,getFurnitureDetailsById,0,1,1
main,com.rentx.businessservices.interfaces,IFurnitureService,getFurnitureDetailsByType,0,1,1
main,com.rentx.businessservices.interfaces,IImageService,downloadFile,0,1,2
main,com.rentx.businessservices.interfaces,IImageService,uploadFile,0,1,4
