Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
main,com.rentx,Application,0,0,1,1,5,1,0,0,-1.0,1,1
main,com.rentx.businessservices,AdvertisementService,1,0,6,6,53,6,0,0,0.0,2,5
main,com.rentx.businessservices,AreaService,1,0,2,2,20,2,0,0,0.0,0,2
main,com.rentx.businessservices,BooksService,1,0,4,4,37,4,0,0,0.0,0,2
main,com.rentx.businessservices,CategoryService,1,0,3,3,28,3,0,0,0.0,0,2
main,com.rentx.businessservices,ElectronicGadgetService,1,0,4,4,37,4,0,0,0.0,0,2
main,com.rentx.businessservices,EmailService,1,0,1,1,13,1,0,0,0.0,0,0
main,com.rentx.businessservices,FurnitureService,1,0,4,4,37,4,0,0,0.0,0,2
main,com.rentx.businessservices,ImageService,2,0,3,3,58,4,0,0,0.0,0,3
main,com.rentx.businessservices,KitchenApplianceService,1,0,4,4,37,4,0,0,0.0,0,2
main,com.rentx.businessservices,ProductService,10,0,12,9,222,29,0,0,0.0,3,6
main,com.rentx.businessservices,PurchaseService,1,0,3,3,34,4,0,0,0.0,1,2
main,com.rentx.businessservices,ReviewService,1,0,3,3,12,3,0,0,0.0,1,2
main,com.rentx.businessservices,UserProfileService,1,0,2,2,31,2,0,0,0.0,1,2
main,com.rentx.businessservices,UserService,4,0,11,11,153,19,0,0,0.0,2,4
main,com.rentx.businessservices,WishlistService,1,0,4,4,39,5,0,0,0.0,1,4
main,com.rentx.businessservices.exceptions,AppException,1,0,2,2,22,2,0,0,0.0,0,0
main,com.rentx.businessservices.interfaces,IAdvertisementService,0,0,5,0,32,5,0,0,-1.0,1,3
main,com.rentx.businessservices.interfaces,IAreaService,0,0,1,0,7,1,0,0,-1.0,1,0
main,com.rentx.businessservices.interfaces,IBooksService,0,0,4,0,25,4,0,0,-1.0,1,1
main,com.rentx.businessservices.interfaces,ICategoryService,0,0,2,0,13,2,0,0,-1.0,1,0
main,com.rentx.businessservices.interfaces,IElectronicGadgetsService,0,0,4,0,25,4,0,0,-1.0,1,1
main,com.rentx.businessservices.interfaces,IEmailService,0,0,1,1,7,1,0,0,-1.0,1,0
main,com.rentx.businessservices.interfaces,IFurnitureService,0,0,4,0,25,4,0,0,-1.0,1,1
main,com.rentx.businessservices.interfaces,IImageService,0,0,3,0,29,3,0,0,-1.0,1,0
main,com.rentx.businessservices.interfaces,IKitchenApplianceService,0,0,4,0,25,4,0,0,-1.0,1,1
main,com.rentx.businessservices.interfaces,IProductService,0,0,6,1,43,6,0,0,-1.0,1,1
main,com.rentx.businessservices.interfaces,IPurchaseService,0,0,3,0,19,3,0,0,-1.0,0,1
main,com.rentx.businessservices.interfaces,IReviewService,0,0,2,0,4,2,0,0,-1.0,0,1
main,com.rentx.businessservices.interfaces,IUserProfileService,0,0,2,0,14,2,0,0,-1.0,0,1
main,com.rentx.businessservices.interfaces,IUserService,0,0,10,0,63,10,0,0,-1.0,2,1
main,com.rentx.businessservices.interfaces,IWishlistService,0,0,3,0,20,3,0,0,-1.0,0,2
main,com.rentx.config,ApiResponse,1,0,0,0,6,0,0,0,-1.0,0,0
main,com.rentx.config,Constant,4,4,0,0,18,0,0,0,-1.0,1,0
main,com.rentx.config,JwtAuthFilter,1,0,1,0,38,4,0,0,0.0,0,1
main,com.rentx.config,PasswordConfig,0,0,1,1,12,1,0,0,-1.0,0,0
main,com.rentx.config,RestExceptionHandler,0,0,1,1,13,1,0,0,-1.0,0,1
main,com.rentx.config,SecurityConfig,2,0,1,1,17,1,0,0,0.0,0,2
main,com.rentx.config,UserAuthenticationEntryPoint,1,0,1,1,19,1,0,0,0.0,1,0
main,com.rentx.config,UserAuthenticationProvider,2,0,5,4,58,6,0,0,0.0,7,2
main,com.rentx.config,WebConfig,1,0,1,1,23,1,0,0,0.0,0,0
main,com.rentx.controller,AdvertisementController,1,0,6,6,51,6,0,0,0.0,0,4
main,com.rentx.controller,AreaController,1,0,2,2,17,2,0,0,0.0,0,1
main,com.rentx.controller,AuthController,3,0,5,5,69,8,0,0,0.0,0,3
main,com.rentx.controller,BooksController,1,0,5,5,41,5,0,0,0.0,0,2
main,com.rentx.controller,CategoryController,1,0,3,3,25,3,0,0,0.0,0,1
